,0,1,2,3,4,5,6,7,8
0,125,0,0,0,0,0,0,0,0
1,0,289,0,0,1,1,0,0,0
2,0,0,18,0,0,0,0,1,0
3,2,0,0,38,0,0,0,0,0
4,0,1,0,0,146,0,0,0,0
5,0,3,0,0,0,202,0,0,0
6,0,2,0,0,3,0,134,0,0
7,1,0,4,0,0,0,0,2,0
8,0,1,0,0,1,0,0,0,20
