,0,1,2,3,4,5,6,7,8,0,1,2,3,4,5,6,7,8,0,1,2,3,4,5,6,7,8
0,1413,18,0,12,0,53,5,0,0,1304,5,0,6,2,28,7,0,0,1323,10,0,12,1,39,4,0,0
1,0,2606,0,1,0,14,15,0,0,1,3251,1,2,0,15,29,0,0,1,3158,0,3,0,16,33,0,0
2,0,2,126,1,0,0,10,0,0,0,0,264,0,0,0,16,0,0,0,0,248,0,0,0,17,0,0
3,35,12,0,418,0,2,12,1,0,47,9,0,597,0,3,22,2,0,43,6,0,561,0,1,25,1,0
4,9,27,1,1,1954,10,46,0,3,8,24,0,0,2617,4,33,0,1,7,18,0,0,2642,3,32,0,2
5,2,29,0,0,2,1474,0,0,0,2,18,0,1,2,1465,0,0,0,1,20,0,2,2,1557,1,0,0
6,0,43,1,5,17,0,2391,0,0,1,23,2,0,11,0,2593,0,0,1,32,2,0,14,0,2544,0,0
7,52,56,91,49,9,0,396,32,0,17,3,71,16,2,1,150,26,0,19,7,85,19,2,1,160,20,0
8,0,16,0,0,5,18,0,0,74,1,14,0,0,13,17,1,0,121,0,15,0,0,13,22,0,0,106
