,0,1,2,3,4,5,6,7,8,0,1,2,3,4,5,6,7,8,0,1,2,3,4,5,6,7,8
0,1438,19,0,9,1,25,9,0,0,1322,3,0,9,1,7,10,0,0,1348,7,0,11,1,15,6,1,0
1,1,2621,0,1,0,9,4,0,0,7,3237,0,3,0,8,44,0,0,5,3151,0,6,0,11,38,0,0
2,2,2,121,0,0,0,14,0,0,0,0,269,0,0,0,11,0,0,0,0,252,0,0,0,13,0,0
3,31,14,0,422,0,1,11,1,0,32,7,0,629,0,0,10,2,0,31,5,0,586,0,1,13,1,0
4,6,21,0,1,2010,1,8,2,2,5,34,0,3,2604,3,36,0,2,7,20,0,3,2636,0,35,0,3
5,4,31,0,0,5,1467,0,0,0,18,28,0,1,3,1436,2,0,0,16,27,0,2,1,1533,4,0,0
6,2,74,0,3,29,0,2348,1,0,0,24,1,1,15,0,2589,0,0,2,32,0,1,10,0,2548,0,0
7,27,12,141,34,0,0,422,49,0,13,4,84,7,0,0,138,40,0,12,3,107,15,0,0,135,41,0
8,0,14,0,0,3,3,0,0,93,0,10,0,0,3,2,1,0,151,0,5,0,0,4,1,0,0,146
