,0,1,2,3,4,5,6,7,8,0,1,2,3,4,5,6,7,8,0,1,2,3,4,5,6,7,8
0,1424,15,0,2,0,51,9,0,0,1305,4,0,7,1,32,1,2,0,1313,21,0,9,0,45,0,1,0
1,0,2611,0,0,0,17,8,0,0,1,3262,0,0,0,33,3,0,0,1,3176,0,0,0,28,6,0,0
2,1,2,109,0,0,0,26,1,0,1,1,265,0,0,0,11,2,0,0,0,247,0,0,0,16,2,0
3,56,24,0,370,0,3,24,3,0,56,25,2,565,0,3,21,8,0,47,23,0,544,2,2,14,5,0
4,2,11,0,0,2007,1,26,3,1,1,15,0,1,2654,3,10,3,0,7,15,0,0,2666,3,11,1,1
5,2,24,0,0,7,1474,0,0,0,2,26,0,1,4,1455,0,0,0,3,23,0,1,3,1553,0,0,0
6,3,72,2,2,10,0,2362,6,0,2,72,4,0,7,0,2533,12,0,1,97,4,1,10,0,2472,8,0
7,66,13,33,32,0,0,510,31,0,25,6,80,12,0,0,109,54,0,31,6,94,19,0,0,109,54,0
8,0,17,0,0,33,29,0,0,34,1,19,0,0,24,30,0,0,93,0,16,0,0,24,48,0,0,68
